place_id,name,name_key,category,subcategory,district,city,province,latitude,longitude,opening_hours,source,source_file,all_sources,all_source_files
PLC0014628,Sathosa Super Market,sathosa super market,shopping,supermarket,Kandy,Kurunduwatta,Central,7.1276693,80.5301869,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014629,Sathosa Supermarket,sathosa supermarket,shopping,supermarket,Nuwara Eliya,,Central,7.0944128,80.8612945,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014630,Sathosa,sathosa,shopping,supermarket,Ampara,,Eastern,7.2912344000000004,81.67591494735589,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014631,Sathosa,sathosa,shopping,supermarket,Badulla,Welimada,Uva,6.9057147,80.9203511,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014632,Sathosa,sathosa,shopping,supermarket,Batticaloa,,Eastern,7.9116416,81.5278886,"Mo-Th,Sa-Su 08:00-19:00",openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014633,Sathosa,sathosa,shopping,supermarket,Colombo,Piliyandala,Western,6.7992922,79.9191074,Mo-Sa 09:00-19:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014634,Sathosa,sathosa,shopping,supermarket,Galle,Baddegama,Southern,6.1716199,80.1787585,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014635,Sathosa,sathosa,shopping,convenience,Gampaha,,Western,7.08700815,80.03205575728374,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014636,Sathosa,sathosa,shopping,supermarket,Hambantota,,Southern,6.0468481,80.7350765,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014637,Sathosa,sathosa,shopping,supermarket,Kalutara,,Western,6.7189889,79.9075492,Mo-Fr 09:00-19:00,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014638,Sathosa,sathosa,shopping,supermarket,Kandy,,Central,7.4376462,80.572251,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014639,Sathosa,sathosa,shopping,convenience,Kegalle,Moronthota,Sabaragamuwa,7.1746992,80.3621498,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014640,Sathosa,sathosa,shopping,supermarket,Kurunegala,Polgahawela,North Western,7.3361642,80.3003708,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014641,Sathosa,sathosa,shopping,supermarket,Matara,,Southern,6.1002766,80.4763827,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014642,Sathosa,sathosa,shopping,supermarket,Monaragala,Katharagama UP,Uva,6.4151226,81.3322228,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014643,Sathosa,sathosa,shopping,supermarket,Nuwara Eliya,,Central,6.9735837,80.7657096,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014644,Sathosa,sathosa,shopping,supermarket,Ratnapura,Godakawela,Sabaragamuwa,6.5040853,80.6529266,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014645,Sathsara Book Shop & Computer,sathsara book shop computer,shopping,books,Kurunegala,,North Western,8.0548393,80.3556657,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014646,Sathsara Reception Hall,sathsara reception hall,accommodation,hotel,Kandy,,Central,7.4418555,80.5736019,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014647,Sathsara Uyana Avenue,sathsara uyana avenue,accommodation,caravan_site,Kalutara,,Western,6.6888199,80.077248,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
